City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
326,Christchurch,NZ,75.0,broken clouds,-43.5333,172.6333,"Chateau on the Park - Christchurch, a DoubleTree by Hilton"
331,Tigre,AR,75.99,clear sky,-34.426,-58.5796,Puerto Delta Apartamentos
343,Le Port,RE,75.2,overcast clouds,-20.9373,55.2919,Villa Maido
345,Liku,ID,75.76,heavy intensity rain,-0.7275,119.8922,Agoes Liverpool
346,Port Blair,IN,77.04,broken clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
347,Katobu,ID,81.75,broken clouds,-4.9408,122.5276,La Ode Husein
350,Biak,ID,80.58,light rain,-0.9131,122.8766,Penginapan Kim
351,San Andres,CO,82.4,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
352,Pemba,MZ,77.74,broken clouds,-12.974,40.5178,Guesthouse Samotina
354,Ahuimanu,US,82.4,clear sky,21.4447,-157.8378,Paradise Bay Resort
355,Rodrigues Alves,BR,75.27,light rain,-7.7379999999999995,-72.6509,Pousada Aconchego
361,La Libertad,EC,82.4,clear sky,-2.2333,-80.9,Playa Canela Hotel Boutique
365,Kaeo,NZ,80.01,clear sky,-35.1,173.7833,Bushido Lodge
369,Monrovia,LR,75.2,broken clouds,6.3005,-10.7969,Sunset Inn
370,Yulara,AU,86.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
375,Mayor Pablo Lagerenza,PY,79.11,overcast clouds,-19.9309,-60.7718,
379,Santa Rosa,PH,78.8,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
384,San Miguelito,PA,84.2,scattered clouds,9.0333,-79.5,Sheraton Grand Panama
385,Vangaindrano,MG,75.63,clear sky,-23.35,47.6,Hotel Fanilo
386,Aitape,PG,82.38,light rain,-3.1374,142.3475,
390,General Roca,AR,86.0,light rain,-39.0333,-67.5833,Hotel El Recreo
393,Honiara,SB,86.59,overcast clouds,-9.4333,159.95,Heritage Park Hotel
401,Werda,BW,79.21,light rain,-25.2667,23.2833,
403,Mana,GF,76.82,overcast clouds,5.6592,-53.7767,LE SAMANA
404,Nicoya,CR,84.2,scattered clouds,10.1483,-85.45200000000001,Guayacan Real
409,Porto Novo,BJ,82.4,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
410,La Asuncion,VE,75.97,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
413,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
418,Katiola,CI,78.8,scattered clouds,8.1333,-5.1,Kakoumani
419,Wewak,PG,80.65,light rain,-3.5534,143.6268,In Wewak Boutique Hotel
421,Kualakapuas,ID,75.2,heavy intensity rain,-3.0091,114.3876,Guest House Izonk
424,Port Hedland,AU,89.6,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
426,Matara,LK,75.33,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
427,Sulangan,PH,79.92,broken clouds,11.1373,123.7228,Maia's Beach Resort
428,Manjeshwar,IN,77.0,broken clouds,12.7194,74.8861,Baithul Hidaya
430,Boa Viagem,BR,77.31,scattered clouds,-5.1275,-39.7322,Residencial macavi
432,Manacapuru,BR,77.0,broken clouds,-3.2997,-60.6206,Novo Hotel
435,Iseyin,NG,77.0,clear sky,7.9667,3.6,"NYSC Permanent Orientation Camp, Iseyin, Oyo State"
437,Quatre Cocos,MU,77.0,scattered clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
443,Coahuayana,MX,78.8,overcast clouds,18.7333,-103.6833,Hotel Los Arcos
446,Makakilo City,US,82.4,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
448,Bintulu,MY,75.2,moderate rain,3.1667,113.0333,900 Boutique INN
451,Tecoanapa,MX,80.51,overcast clouds,16.5167,-98.75,Hotel Manglares
453,Banjar,ID,78.8,broken clouds,-8.19,114.9675,The Hamsa Resort
463,Sao Jose Da Coroa Grande,BR,78.44,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
464,Balabac,PH,80.74,light rain,7.9868,117.0645,Sing and Swing Lodge
468,Santa Maria,BR,75.2,clear sky,-29.6842,-53.8069,Hotel Morotin
473,Emerald,AU,81.0,clear sky,-23.5333,148.1667,The Irish Village
475,Tepic,MX,78.8,scattered clouds,21.5,-104.9,FIESTA INN
477,Inhambane,MZ,79.48,clear sky,-23.865,35.3833,Oceano
481,Tecalitlan,MX,78.8,overcast clouds,19.4667,-103.3,Hotel Tierra Bella
485,Madang,PG,76.3,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
486,Carupano,VE,75.42,overcast clouds,10.6678,-63.2585,Hotel La dorada
490,Maragogi,BR,78.4,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
498,Port Keats,AU,81.46,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
504,Luanda,AO,77.0,few clouds,-8.8368,13.2343,EPIC SANA Luanda
505,Harper,LR,78.62,broken clouds,4.375,-7.7169,Screensaver
509,Redlands,US,86.0,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
513,Daru,PG,83.08,moderate rain,-9.0763,143.2092,Daru Lodge
520,Charlestown,AU,82.99,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
522,Linden,GY,77.0,clear sky,6.0,-58.3,Crimson Bat Hotel
525,Sula,PH,75.2,broken clouds,15.4573,120.3955,River Stone Hotel
530,Soyo,AO,77.92,clear sky,-6.1349,12.3689,Hotel Mpampa
531,Sosua,DO,77.0,few clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
532,Ambovombe,MG,75.61,clear sky,-25.1667,46.0833,RELAHARA
545,Buala,SB,85.82,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
548,Mont-Dore,NC,82.4,overcast clouds,-22.2833,166.5833,GIte
551,Saint-Joseph,RE,77.0,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
553,Ko Samui,TH,78.58,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
559,Noumea,NC,82.4,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
566,Melchor De Mencos,GT,77.0,clear sky,17.0686,-89.1522,Xultun Farm
568,Toamasina,MG,77.34,overcast clouds,-18.1667,49.3833,Hotel H1
569,Urucara,BR,76.95,light rain,-2.5364,-57.76,Hotel japa
577,Sambava,MG,77.72,broken clouds,-14.2667,50.1667,Melrose
579,Atambua,ID,80.89,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
580,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
581,Labuhan,ID,78.64,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
584,Caxito,AO,77.0,few clouds,-8.5785,13.6643,
586,La Colorada,PA,76.78,overcast clouds,8.0167,-80.9833,Río Santa Clara
