City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
239,Balkhash,KZ,2021-01-11 20:06:57,46.844,74.9804,8.47,86,0,7.87
240,Acajutla,SV,2021-01-11 20:04:03,13.5928,-89.8275,83.91,55,3,5.75
241,Opuwo,NA,2021-01-11 20:06:57,-18.0607,13.84,68.59,59,28,11.18
242,Tefe,BR,2021-01-11 20:06:57,-3.3542,-64.7114,80.6,83,75,6.91
243,Pierre,US,2021-01-11 20:06:57,44.3683,-100.351,46.99,42,1,14.97
244,Tanza,PH,2021-01-11 20:06:57,14.6753,120.9389,75.2,78,75,2.3
245,Candelaria,PH,2021-01-11 20:06:57,13.9311,121.4233,75.99,73,73,8.01
246,Zephyrhills,US,2021-01-11 20:06:58,28.2336,-82.1812,75.2,50,40,14.97
247,Tura,IN,2021-01-11 20:06:58,25.5198,90.2201,60.58,58,7,3.11
248,Lebu,CL,2021-01-11 20:06:58,-37.6167,-73.65,58.33,55,0,16.87
249,Lugovoy,KZ,2021-01-11 20:06:58,42.9472,72.7644,35.42,64,0,6.64
250,Lashio,MM,2021-01-11 20:06:58,22.9333,97.75,55.96,98,59,1.45
251,Khatanga,RU,2021-01-11 20:06:58,71.9667,102.5,-18.4,88,99,8.46
252,Metro,ID,2021-01-11 20:06:58,-5.1131,105.3067,72.95,94,100,9.57
253,Byron Bay,AU,2021-01-11 20:06:58,-28.65,153.6167,62.01,94,40,4.63
254,Dahra,DZ,2021-01-11 20:06:58,36.2546,0.8519,48.2,81,40,9.22
255,Valdivia,CL,2021-01-11 20:06:58,-39.8142,-73.2459,64.4,39,0,9.22
256,Saint George,US,2021-01-11 20:06:58,37.1041,-113.5841,48.99,33,1,2.06
257,Tocopilla,CL,2021-01-11 20:03:09,-22.092,-70.1979,73.27,58,55,11.88
258,Deep River,CA,2021-01-11 20:06:58,46.1001,-77.4995,35.01,69,90,3.44
259,Maun,BW,2021-01-11 20:06:58,-19.9833,23.4167,73.4,100,20,8.05
260,Peniche,PT,2021-01-11 20:06:59,39.3558,-9.3811,45.0,62,0,8.01
261,Isangel,VU,2021-01-11 20:06:59,-19.55,169.2667,78.8,94,75,9.22
262,Mollendo,PE,2021-01-11 20:06:59,-17.0231,-72.0147,72.77,69,97,9.57
263,Pilar De La Horadada,ES,2021-01-11 20:06:59,37.8659,-0.7926,51.01,81,20,3.44
264,Nicoya,CR,2021-01-11 20:04:21,10.1483,-85.452,87.8,55,75,19.57
265,Kroya,ID,2021-01-11 20:06:59,-7.6331,109.2461,77.56,86,100,2.39
266,Oro Valley,US,2021-01-11 20:03:35,32.3909,-110.9665,61.0,24,1,5.99
267,Qasigiannguit,GL,2021-01-11 20:06:59,68.8193,-51.1922,24.8,86,75,5.75
268,Severo-Kurilsk,RU,2021-01-11 20:06:59,50.6789,156.125,24.13,94,89,25.08
269,Palmeira,BR,2021-01-11 20:06:59,-25.4294,-50.0064,79.47,77,5,5.68
270,Antalaha,MG,2021-01-11 20:06:59,-14.9003,50.2788,77.04,86,58,4.68
271,Maturin,VE,2021-01-11 20:06:59,9.75,-63.1767,83.17,57,4,10.25
272,Puerto Del Rosario,ES,2021-01-11 20:06:59,28.5004,-13.8627,60.8,63,40,12.66
273,Mlimba,TZ,2021-01-11 20:06:59,-8.8,35.8167,72.99,87,100,3.94
274,Nanakuli,US,2021-01-11 20:07:00,21.3906,-158.1547,80.6,61,1,6.91
275,Esna,EG,2021-01-11 20:07:00,25.2934,32.554,73.4,56,0,9.22
276,Kurchum,KZ,2021-01-11 20:07:00,48.5722,83.6542,4.35,86,91,3.18
277,Namatanai,PG,2021-01-11 20:07:00,-3.6667,152.4333,79.9,78,100,4.03
278,Havre-Saint-Pierre,CA,2021-01-11 20:07:00,50.2334,-63.5986,17.6,57,1,13.8
279,Anadyr,RU,2021-01-11 20:07:00,64.75,177.4833,-31.0,68,0,8.95
280,Terrasini,IT,2021-01-11 20:07:00,38.146,13.0844,52.0,87,0,4.61
281,Vysokogornyy,RU,2021-01-11 20:07:00,50.1167,139.15,-14.4,87,100,2.89
282,Saint-Ambroise,CA,2021-01-11 20:07:00,48.5501,-71.3324,24.01,74,95,2.3
283,Coxim,BR,2021-01-11 20:07:00,-18.5067,-54.76,95.54,34,9,7.2
284,Matagami,CA,2021-01-11 20:07:00,49.7502,-77.6328,21.2,93,90,10.36
285,Wewak,PG,2021-01-11 20:07:00,-3.5534,143.6268,80.08,77,100,0.67
286,Hangu,CN,2021-01-11 20:07:00,39.2489,117.7892,23.0,39,0,4.47
287,Safranbolu,TR,2021-01-11 20:07:01,41.2508,32.6942,54.72,69,99,1.36
288,Sistranda,NO,2021-01-11 20:07:01,63.7256,8.834,23.0,80,75,8.05
289,Sibilia,GT,2021-01-11 20:07:01,15.0,-91.6167,75.0,46,40,11.5
290,Savonlinna,FI,2021-01-11 20:07:01,61.8699,28.88,14.0,92,90,9.22
291,Pudozh,RU,2021-01-11 20:07:01,61.8099,36.5345,-12.33,88,0,6.53
292,Ibra,OM,2021-01-11 20:07:01,22.6906,58.5334,50.2,62,0,3.53
293,Straubing,DE,2021-01-11 20:07:01,48.8833,12.5667,21.0,10,95,3.15
294,Aldan,RU,2021-01-11 20:07:01,58.6031,125.3894,-29.99,81,57,3.83
295,Shenkursk,RU,2021-01-11 20:07:01,62.1091,42.896,-15.65,87,0,4.52
