City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
129,Honningsvag,70.9821,25.9704,34.68,96,100,8.34,NO,2021-01-14 23:47:07,light snow
130,La Macarena,2.1837,-73.7849,73.35,81,64,1.5,CO,2021-01-14 23:47:07,broken clouds
131,Maswa,-2.6833,33.9833,63.43,89,21,4.07,TZ,2021-01-14 23:47:07,few clouds
132,Havelock,34.8791,-76.9013,46.99,93,1,3.33,US,2021-01-14 23:47:07,clear sky
133,Moron,-34.6534,-58.6198,75.99,70,0,8.99,AR,2021-01-14 23:47:07,clear sky
134,Vila Velha,-20.3297,-40.2925,78.8,78,20,5.75,BR,2021-01-14 23:46:34,light rain
135,San Patricio,28.017,-97.5169,77.0,23,20,14.97,US,2021-01-14 23:47:07,few clouds
136,Bengkulu,-3.8004,102.2655,76.78,81,94,3.96,ID,2021-01-14 23:47:07,overcast clouds
137,Asau,46.4333,26.4,26.01,100,75,3.8,RO,2021-01-14 23:47:07,broken clouds
138,Kalmunai,7.4167,81.8167,77.36,86,100,3.31,LK,2021-01-14 23:47:07,moderate rain
139,Arinos,-15.9169,-46.1056,72.12,92,100,2.48,BR,2021-01-14 23:47:07,moderate rain
140,Upernavik,72.7868,-56.1549,18.59,96,100,4.59,GL,2021-01-14 23:47:08,light snow
141,Lake Charles,30.2131,-93.2044,66.2,63,1,17.27,US,2021-01-14 23:47:08,clear sky
142,Batagay-Alyta,67.8006,130.4114,-36.42,71,66,1.1,RU,2021-01-14 23:47:08,broken clouds
143,Walvis Bay,-22.9575,14.5053,71.01,77,74,2.3,NA,2021-01-14 23:47:08,broken clouds
144,Virginia Beach,36.8529,-75.978,46.4,49,20,2.84,US,2021-01-14 23:44:19,few clouds
145,Jacareacanga,-6.2222,-57.7528,75.15,96,100,1.03,BR,2021-01-14 23:47:08,overcast clouds
146,Muisne,0.6,-80.0333,77.02,82,98,7.23,EC,2021-01-14 23:47:08,overcast clouds
147,Dunedin,-45.8742,170.5036,67.37,69,55,8.77,NZ,2021-01-14 23:47:08,broken clouds
148,Severo-Kurilsk,50.6789,156.125,25.54,93,100,20.18,RU,2021-01-14 23:47:08,light snow
149,Manono,-7.3,27.4167,67.42,96,100,1.79,CD,2021-01-14 23:47:08,light rain
150,Hithadhoo,-0.6,73.0833,81.55,78,98,16.87,MV,2021-01-14 23:47:08,moderate rain
151,Cabo San Lucas,22.8909,-109.9124,75.2,27,20,4.61,MX,2021-01-14 23:42:49,few clouds
152,Jiancheng,30.391,104.5491,37.0,72,0,3.0,CN,2021-01-14 23:47:08,clear sky
153,Ancud,-41.8697,-73.8203,51.8,93,90,9.22,CL,2021-01-14 23:47:08,light rain
154,Maniitsoq,65.4167,-52.9,17.06,90,100,3.98,GL,2021-01-14 23:47:09,overcast clouds
155,Tautira,-17.7333,-149.15,87.8,58,75,5.75,PF,2021-01-14 23:47:09,broken clouds
156,Natchitoches,31.7668,-93.1335,59.0,51,1,9.22,US,2021-01-14 23:47:09,clear sky
157,Saskylakh,71.9167,114.0833,-46.23,77,54,1.74,RU,2021-01-14 23:47:09,broken clouds
158,Derzhavinsk,51.1,66.3167,-0.98,87,35,13.73,KZ,2021-01-14 23:47:09,scattered clouds
159,Ciudad Bolivar,8.1222,-63.5497,79.56,70,67,11.72,VE,2021-01-14 23:47:09,broken clouds
160,Nelson Bay,-32.7167,152.15,75.99,78,75,12.66,AU,2021-01-14 23:47:09,broken clouds
161,Bonavista,48.6499,-53.1147,32.0,80,100,2.3,CA,2021-01-14 23:47:09,overcast clouds
162,Lumsden,50.6501,-104.8678,27.0,93,90,34.52,CA,2021-01-14 23:47:09,heavy snow
163,Kloulklubed,7.0419,134.2556,80.6,89,75,6.91,PW,2021-01-14 23:47:10,broken clouds
164,Tselinnoye,53.0833,85.6667,-21.32,87,79,4.59,RU,2021-01-14 23:47:10,broken clouds
165,New Norfolk,-42.7826,147.0587,55.99,73,44,3.36,AU,2021-01-14 23:47:10,scattered clouds
166,Boyolangu,-8.1181,111.8935,78.19,78,100,3.04,ID,2021-01-14 23:47:10,overcast clouds
167,Hilo,19.7297,-155.09,84.2,51,40,9.22,US,2021-01-14 23:45:49,scattered clouds
168,La Baule-Escoublac,47.2922,-2.364,44.6,81,20,8.05,FR,2021-01-14 23:47:10,few clouds
169,Bambous Virieux,-20.3428,57.7575,77.0,94,40,1.14,MU,2021-01-14 23:47:10,scattered clouds
170,Hambantota,6.1241,81.1185,76.6,85,100,6.29,LK,2021-01-14 23:47:10,overcast clouds
171,Vinh,18.6667,105.6667,58.98,87,72,3.74,VN,2021-01-14 23:47:10,broken clouds
172,Svetlaya,46.5389,138.3297,6.55,80,80,7.05,RU,2021-01-14 23:47:10,broken clouds
173,Grande Prairie,55.1667,-118.8027,23.0,68,75,2.3,CA,2021-01-14 23:47:10,broken clouds
174,Arraial Do Cabo,-22.9661,-42.0278,77.0,83,0,14.97,BR,2021-01-14 23:47:10,clear sky
175,Manaure,11.7751,-72.4445,80.6,62,77,15.26,CO,2021-01-14 23:47:11,broken clouds
176,Porto Velho,-8.7619,-63.9039,77.0,94,75,1.14,BR,2021-01-14 23:43:44,light rain
177,Chuy,-33.6971,-53.4616,65.68,69,0,11.27,UY,2021-01-14 23:47:11,clear sky
178,Deputatskiy,69.3,139.9,-17.91,90,100,3.87,RU,2021-01-14 23:47:11,overcast clouds
179,Thaba Nchu,-29.2093,26.839,68.0,88,55,4.61,ZA,2021-01-14 23:43:21,broken clouds
180,Andenes,69.3143,16.1194,37.4,81,75,16.11,NO,2021-01-14 23:47:11,broken clouds
181,Karratha,-20.7377,116.8463,97.02,34,34,7.7,AU,2021-01-14 23:46:23,light rain
182,Lata,40.1629,-8.3327,53.01,90,77,3.2,PT,2021-01-14 23:47:11,broken clouds
183,Nuuk,64.1835,-51.7216,23.0,86,75,6.91,GL,2021-01-14 23:47:11,light snow
184,Perth,-31.9333,115.8333,69.01,45,0,19.57,AU,2021-01-14 23:43:48,clear sky
185,San Cristobal,7.7669,-72.225,82.4,65,40,6.91,VE,2021-01-14 23:43:52,scattered clouds
186,Ulaangom,49.9811,92.0667,-15.63,80,19,1.16,MN,2021-01-14 23:47:12,few clouds
187,Shahpur,16.7,76.8333,66.18,83,0,5.32,IN,2021-01-14 23:47:12,clear sky
188,Viesca,25.35,-102.8,71.6,13,1,2.82,MX,2021-01-14 23:47:12,clear sky
189,Balboa,2.0396,-77.2168,61.84,100,85,1.7,CO,2021-01-14 23:47:12,light rain
190,Coihaique,-45.5752,-72.0662,68.0,42,0,8.05,CL,2021-01-14 23:47:12,clear sky
191,Itacarambi,-15.1022,-44.0919,71.42,86,74,1.21,BR,2021-01-14 23:47:12,broken clouds
192,Manzil Salim,35.8567,8.4765,41.0,75,20,11.5,TN,2021-01-14 23:47:12,few clouds
193,Sur,22.5667,59.5289,64.27,68,0,2.48,OM,2021-01-14 23:47:12,clear sky
194,Esperance,-33.8667,121.9,59.0,82,40,12.66,AU,2021-01-14 23:47:12,scattered clouds
195,Kenai,60.5544,-151.2583,34.0,64,75,25.32,US,2021-01-14 23:47:12,broken clouds
196,Utete,-7.986,38.758,71.35,97,1,1.36,TZ,2021-01-14 23:47:12,clear sky
197,Alta Floresta,-9.8756,-56.0861,73.54,95,99,2.8,BR,2021-01-14 23:47:12,moderate rain
198,Lompoc,34.6391,-120.4579,73.4,40,1,17.27,US,2021-01-14 23:47:13,clear sky
199,Oranjemund,-28.55,16.4333,65.61,85,44,8.39,NA,2021-01-14 23:47:13,scattered clouds
200,Meulaboh,4.1363,96.1285,75.61,82,99,3.69,ID,2021-01-14 23:47:13,overcast clouds
201,Saldanha,-33.0117,17.9442,64.4,94,36,11.5,ZA,2021-01-14 23:47:13,scattered clouds
202,Pio Ix,-6.8375,-40.5792,74.7,70,73,4.32,BR,2021-01-14 23:47:13,moderate rain
203,Mongagua,-24.0931,-46.6208,81.0,26,60,9.66,BR,2021-01-14 23:47:13,broken clouds
204,Pulivendla,14.4167,78.2333,67.55,85,0,4.47,IN,2021-01-14 23:47:13,clear sky
205,Asfi,32.2994,-9.2372,53.11,73,19,13.58,MA,2021-01-14 23:47:13,few clouds
206,Codajas,-3.8367,-62.0569,74.86,96,100,2.17,BR,2021-01-14 23:47:13,heavy intensity rain
207,Caravelas,-17.7125,-39.2481,76.78,83,4,6.51,BR,2021-01-14 23:47:13,clear sky
208,Husavik,66.0449,-17.3389,37.4,70,0,2.3,IS,2021-01-14 23:47:13,clear sky
209,Kavieng,-2.5744,150.7967,84.36,70,100,5.77,PG,2021-01-14 23:47:13,overcast clouds
210,Paita,-5.0892,-81.1144,73.47,75,88,18.37,PE,2021-01-14 23:47:14,overcast clouds
211,Muncar,-8.4333,114.3333,79.75,81,100,6.33,ID,2021-01-14 23:47:14,moderate rain
212,Gudur,14.1333,79.85,68.94,91,1,3.58,IN,2021-01-14 23:47:14,clear sky
213,Dalaba,10.7,-12.25,63.1,26,3,3.29,GN,2021-01-14 23:47:14,clear sky
214,Rudnichnyy,59.617,52.4703,11.66,96,100,8.08,RU,2021-01-14 23:47:14,snow
215,Tucuma,-0.1833,-50.05,77.27,87,99,8.12,BR,2021-01-14 23:42:24,overcast clouds
216,Nikolskoye,59.7035,30.7861,8.01,78,75,2.24,RU,2021-01-14 23:47:14,light snow
217,Taitung,22.7583,121.1444,57.2,62,0,4.61,TW,2021-01-14 23:47:14,clear sky
218,Castro,-24.7911,-50.0119,64.02,90,53,9.93,BR,2021-01-14 23:47:14,broken clouds
219,Muli,2.9167,73.5667,81.25,77,90,10.74,MV,2021-01-14 23:47:15,overcast clouds
220,Narsaq,60.9167,-46.05,21.2,68,75,9.22,GL,2021-01-14 23:47:15,broken clouds
221,Klaksvik,62.2266,-6.589,35.6,100,75,2.3,FO,2021-01-14 23:47:15,light rain
222,Bethel,41.3712,-73.414,37.99,75,75,2.71,US,2021-01-14 23:47:15,broken clouds
223,Aswan,24.0934,32.907,53.1,49,22,9.31,EG,2021-01-14 23:47:15,few clouds
224,Ilulissat,69.2167,-51.1,19.4,86,90,5.75,GL,2021-01-14 23:47:15,overcast clouds
225,Bubaque,11.2833,-15.8333,78.01,64,12,11.05,GW,2021-01-14 23:47:15,few clouds
226,Presidente Olegario,-18.4178,-46.4181,68.0,100,91,3.49,BR,2021-01-14 23:47:15,overcast clouds
227,Nha Trang,12.25,109.1833,66.2,77,20,6.91,VN,2021-01-14 23:47:15,few clouds
228,Mananjary,-21.2167,48.3333,77.16,90,62,2.01,MG,2021-01-14 23:47:15,broken clouds
229,Guerrero Negro,27.9769,-114.0611,71.98,21,0,10.85,MX,2021-01-14 23:45:21,clear sky
230,Mattru,7.6244,-11.8332,75.02,93,0,1.88,SL,2021-01-14 23:47:15,clear sky
231,Poronaysk,49.2167,143.1167,-1.89,85,44,5.64,RU,2021-01-14 23:47:16,scattered clouds
232,Flin Flon,54.7682,-101.865,26.6,93,90,21.85,CA,2021-01-14 23:47:16,snow
233,Stornoway,58.2093,-6.3865,39.0,93,90,5.75,GB,2021-01-14 23:47:16,overcast clouds
234,Portland,45.5234,-122.6762,55.0,47,75,8.05,US,2021-01-14 23:44:47,broken clouds
235,Sakaiminato,35.55,133.2333,32.0,100,20,2.3,JP,2021-01-14 23:47:16,fog
236,Robertsport,6.7533,-11.3686,80.73,83,31,11.88,LR,2021-01-14 23:47:16,scattered clouds
237,Carnarvon,-24.8667,113.6333,78.8,94,46,13.8,AU,2021-01-14 23:47:16,scattered clouds
238,Akdepe,42.0551,59.3788,32.0,69,0,11.5,TM,2021-01-14 23:47:16,clear sky
239,Ruteng,-8.6136,120.4721,71.37,87,100,1.81,ID,2021-01-14 23:47:16,overcast clouds
240,Mount Isa,-20.7333,139.5,91.4,31,35,10.36,AU,2021-01-14 23:47:16,scattered clouds
241,Wenatchee,47.4235,-120.3103,41.0,60,1,4.61,US,2021-01-14 23:42:16,clear sky
242,Faanui,-16.4833,-151.75,81.73,75,12,15.57,PF,2021-01-14 23:47:16,light rain
243,Malakal,9.5334,31.6605,71.98,22,12,6.8,SS,2021-01-14 23:47:17,few clouds
244,Airai,-8.9266,125.4092,69.94,93,49,1.25,TL,2021-01-14 23:47:17,scattered clouds
245,Chokurdakh,70.6333,147.9167,-15.83,90,100,8.28,RU,2021-01-14 23:47:17,overcast clouds
246,La Ronge,55.1001,-105.2842,21.2,79,99,14.97,CA,2021-01-14 23:47:17,overcast clouds
247,Inuvik,68.3499,-133.7218,-4.0,77,89,2.3,CA,2021-01-14 23:46:30,overcast clouds
248,Kousseri,12.0769,15.0306,73.4,25,0,9.22,CM,2021-01-14 23:47:17,clear sky
